"name","amg_person_id","top_genre","birthday","id"
"Janet Gaynor","P 26244","Drama","1906-10-06 00:00:00.000",50
"Hermione Baddeley","P  3187","Comedy","1906-11-13 00:00:00.000",51
"Alexander Knox","P 38853","Drama","1907-01-16 00:00:00.000",52
"Katharine Hepburn","P 31873","Drama","1907-05-12 00:00:00.000",53
"Sir Laurence Olivier","P105057","Drama","1907-05-22 00:00:00.000",54
"Laurence Olivier","P105057","Drama","1907-05-22 00:00:00.000",55
"John Wayne","P116130","Western","1907-05-26 00:00:00.000",56
"Jack Albertson","P   695","Comedy","1907-06-16 00:00:00.000",57
"Barbara Stanwyck","P 67643","Drama","1907-07-16 00:00:00.000",58
"Burgess Meredith","P102566","Drama","1907-11-16 00:00:00.000",59
"Peggy Ashcroft","P  2516","Drama","1907-12-22 00:00:00.000",60
"John Mills","P102933","Drama","1908-02-22 00:00:00.000",61
"Rex Harrison","P 30718","Drama","1908-03-05 00:00:00.000",62
"Anna Magnani","P100751","Drama","1908-03-07 00:00:00.000",63
"Michael Redgrave","P 59205","Drama","1908-03-20 00:00:00.000",64
"Joan Crawford","P 15681","Drama","1908-03-23 00:00:00.000",65
"Arthur O'Connell","P 53319","Drama","1908-03-29 00:00:00.000",66
"Bette Davis","P 17295","Drama","1908-04-05 00:00:00.000",67
"Eve Arden","P  2128","Comedy","1908-04-30 00:00:00.000",68
"James Stewart","P 68236","Drama","1908-05-20 00:00:00.000",69
"Robert Morley","P 50731","Comedy","1908-05-26 00:00:00.000",70
"Don Ameche","P  1323","Comedy","1908-05-31 00:00:00.000",71
"Rosalind Russell","P 62246","Comedy","1908-06-04 00:00:00.000",72
"Jack Gilford","P 26814","Comedy","1908-07-25 00:00:00.000",73
"Tom Tully","P 72091","Drama","1908-08-21 00:00:00.000",74
"Carole Lombard","P 43021","Comedy","1908-10-06 00:00:00.000",75
"Celia Johnson","P 35792","Drama","1908-12-18 00:00:00.000",76
"Lew Ayres","P  3047","Drama","1908-12-28 00:00:00.000",77
"Ann Sothern","P 66971","Comedy","1909-01-22 00:00:00.000",78
"Josephine Hull","P 33882","Comedy","1909-02-27 00:00:00.000",79
"Patricia Collinge","P 14195","Drama","1909-03-07 00:00:00.000",80
"John Marley","P 45621","Drama","1909-03-22 00:00:00.000",81
"Juanita Moore","P 50324","Drama","1909-03-29 00:00:00.000",82
"Lila Kedrova","P 37296","Drama","1909-04-02 00:00:00.000",83
"John Dall","P 16661","Drama","1909-04-02 00:00:00.000",84
"Jocelyne Lagarde","P 39998","Drama","1909-04-07 00:00:00.000",85
"Rupert Crosse","P 15924","Adventure","1909-04-11 00:00:00.000",86
"Maggie McNamara","P 47955","Drama","1909-04-12 00:00:00.000",87
"Anne Ramsey","P 58676","Drama","1909-04-13 00:00:00.000",88
"Adolph Caesar","P 10141","Adventure","1909-04-18 00:00:00.000",89
"Ronee Blakley","P  6463","Drama","1909-04-30 00:00:00.000",90
"Leslie Browne","P  9074","Drama","1909-05-12 00:00:00.000",91
"James Mason","P101610","Drama","1909-05-15 00:00:00.000",92
"Jessica Tandy","P 69780","Drama","1909-06-07 00:00:00.000",93
"Burl Ives","P 34703","Drama","1909-06-14 00:00:00.000",94
"Barbara O'Neil","P 53572","Drama","1909-07-10 00:00:00.000",95
"Miliza Korjus","P 39118","Drama","1909-08-18 00:00:00.000",96
"Robert Ryan","P128119","Drama","1909-11-11 00:00:00.000",97
"Luise Rainer","P 58527","Drama","1910-01-12 00:00:00.000",98
"David Niven","P 52791","Comedy","1910-03-01 00:00:00.000",99
"Claire Trevor","P 71758","Drama","1910-03-08 00:00:00.000",100
"Paulette Goddard","P 27336","Comedy","1910-06-03 00:00:00.000",101
"Gloria Stuart","P 68812","Drama","1910-07-04 00:00:00.000",102
"Sylvia Sidney","P 65554","Drama","1910-08-08 00:00:00.000",103
"Van Heflin","P 31516","Drama","1910-12-13 00:00:00.000",104
"Arthur Hunnicutt","P 33950","Western","1911-02-17 00:00:00.000",105
"Margaret Sullavan","P 68972","Drama","1911-05-16 00:00:00.000",106
"Ellen Corby","P 14941","Drama","1911-06-13 00:00:00.000",107
"Ginger Rogers","P 61099","Comedy","1911-07-16 00:00:00.000",108
"Hume Cronyn","P 15864","Drama","1911-07-18 00:00:00.000",109
"Ruth Hussey","P 34127","Drama","1911-10-30 00:00:00.000",110
"Lee J. Cobb","P 13814","Drama","1911-12-09 00:00:00.000",111
"Broderick Crawford","P 15668","Drama","1911-12-09 00:00:00.000",112
"Jos_ Ferrer","P 89648","Drama","1912-01-08 00:00:00.000",113
"Karl Malden","P 44670","Drama","1912-03-22 00:00:00.000",114
"Hugh Griffith","P 28839","Comedy","1912-05-30 00:00:00.000",115
"Wendy Hiller","P 32374","Drama","1912-08-15 00:00:00.000",116
"Gene Kelly","P 97107","Musical","1912-08-23 00:00:00.000",117
"Martha Scott","P 64115","Drama","1912-09-22 00:00:00.000",118
"Cornel Wilde","P116764","Adventure","1912-10-13 00:00:00.000",119
"Loretta Young","P 78190","Drama","1913-01-16 00:00:00.000",120
"John Garfield","P187968","Drama","1913-03-04 00:00:00.000",121
"Anthony Quayle","P 58189","Drama","1913-09-07 00:00:00.000",122
"Burt Lancaster","P 98588","Drama","1913-11-02 00:00:00.000",123
"Gig Young","P 78166","Drama","1913-11-04 00:00:00.000",124
"Vivien Leigh","P 41659","Drama","1913-11-05 00:00:00.000",125
"Robert Strauss","P 68664","Comedy","1913-11-08 00:00:00.000",126
"Harold Russell","P 62220","Drama","1914-01-14 00:00:00.000",127
"John Ireland","P 95497","Drama","1914-01-30 00:00:00.000",128
"Kevin McCarthy","P101959","Drama","1914-02-15 00:00:00.000",129
"Arthur Kennedy","P 97175","Drama","1914-02-17 00:00:00.000",130
"Alec Guinness","P 29203","Comedy","1914-04-02 00:00:00.000",131
"Beatrice Straight","P 68592","Drama","1914-08-02 00:00:00.000",132
"Andrea Leeds","P 41546","Drama","1914-08-18 00:00:00.000",133
"Kay Medford","P 48176","Comedy","1914-09-14 00:00:00.000",134
"Geraldine Fitzgerald","P 23694","Drama","1914-11-24 00:00:00.000",135
"Larry Parks","P 55166","Musical","1914-12-13 00:00:00.000",136
"Richard Widmark","P 76135","Drama","1914-12-26 00:00:00.000",137
"Anthony Quinn","P107297","Drama","1915-04-21 00:00:00.000",138
"Orson Welles","P116368","Drama","1915-05-06 00:00:00.000",139
"Ingrid Bergman","P  5652","Drama","1915-08-29 00:00:00.000",140
"Edmond O'Brien","P 53260","Drama","1915-09-10 00:00:00.000",141
"Joyce Redman","P 59214","Drama","1915-12-09 00:00:00.000",142
"Frank Sinatra","P111632","Music [nf]","1915-12-12 00:00:00.000",143
"Jackie Gleason","P 27204","Comedy","1916-02-26 00:00:00.000",144
"Mercedes McCambridge","P 46916","Drama","1916-03-16 00:00:00.000",145
"Gregory Peck","P 55747","Drama","1916-04-05 00:00:00.000",146
"Dorothy McGuire","P 47552","Drama","1916-06-14 00:00:00.000",147
"Olivia de Havilland","P 17765","Drama","1916-07-01 00:00:00.000",148
"Peter Finch","P 23460","Drama","1916-09-28 00:00:00.000",149
"Trevor Howard","P 33529","Drama","1916-09-29 00:00:00.000",150
"Kirk Douglas","P 88133","Drama","1916-12-09 00:00:00.000",151
"Jane Wyman","P 77721","Comedy","1917-01-05 00:00:00.000",152
"Ernest Borgnine","P  7448","Drama","1917-01-24 00:00:00.000",153
"Celeste Holm","P 32955","Comedy","1917-04-29 00:00:00.000",154
"Robert Mitchum","P 49738","Drama","1917-08-06 00:00:00.000",155
"Joan Fontaine","P 24127","Drama","1917-10-22 00:00:00.000",156
"Dan Dailey","P 16585","Musical","1917-12-14 00:00:00.000",157
"William Holden","P 32805","Drama","1918-04-17 00:00:00.000",158
"Anne Shirley","P 65375","Drama","1918-04-17 00:00:00.000",159
"Robert Preston","P 57736","Drama","1918-06-08 00:00:00.000",160
"Ben Johnson","P 35776","Western","1918-06-13 00:00:00.000",161
"Susan Hayward","P 31331","Drama","1918-06-30 00:00:00.000",162
"Teresa Wright","P 77640","Drama","1918-10-27 00:00:00.000",163
"Art Carney","P 11090","Comedy","1918-11-04 00:00:00.000",164
"Jeff Chandler","P 12238","Drama","1918-12-05 00:00:00.000",165
"Robert Stack","P 67453","Drama","1919-01-13 00:00:00.000",166
"Red Buttons","P  9969","Drama","1919-02-05 00:00:00.000",167
"Jack Palance","P 54755","Drama","1919-02-18 00:00:00.000",168
"Jennifer Jones","P 36139","Drama","1919-03-02 00:00:00.000",169
"Eileen Heckart","P 31473","Drama","1919-03-29 00:00:00.000",170
"Dan O'Herlihy","P 53487","Drama","1919-05-01 00:00:00.000",171
"Richard Todd","P114276","Drama","1919-06-11 00:00:00.000",172
"Martin Balsam","P 3629","Drama","1919-11-04 00:00:00.000",173
"Jo Van Fleet","P 23839","Drama","1919-12-30 00:00:00.000",174
"Vincent Gardenia","P 25883","Comedy","1920-01-07 00:00:00.000",175
"Peggy Lee","P 99164","Music [nf]","1920-05-26 00:00:00.000",176
"Yul Brynner","P  9264","Drama","1920-07-11 00:00:00.000",177
"Beah Richards","P 60007","Drama","1920-07-12 00:00:00.000",178
"Shelley Winters","P 77029","Drama","1920-08-18 00:00:00.000",179
"Richard Farnsworth","P 22732","Drama","1920-09-01 00:00:00.000",180
"Jack Warden","P 74681","Comedy","1920-09-18 00:00:00.000",181
"Mickey Rooney","P108826","Comedy","1920-09-23 00:00:00.000",182
"Walter Matthau","P 46456","Comedy","1920-10-01 00:00:00.000",183
"Montgomery Clift","P 13682","Drama","1920-10-17 00:00:00.000",184
"Gene Tierney","P 70970","Drama","1920-11-19 00:00:00.000",185
"Joe Mantell","P 45199","Drama","1920-12-21 00:00:00.000",186
"Donna Reed","P 59251","Drama","1921-01-27 00:00:00.000",187
"Carol Channing","P 12301","Comedy","1921-01-31 00:00:00.000",188
"Lana Turner","P 72175","Drama","1921-02-08 00:00:00.000",189
"Simone Signoret","P 65603","Drama","1921-03-25 00:00:00.000",190
"Nancy Kelly","P 97117","Drama","1921-03-25 00:00:00.000",191
"Jan Sterling","P 68035","Drama","1921-04-03 00:00:00.000",192
"Peter Ustinov","P114937","Comedy","1921-04-16 00:00:00.000",193
"Judy Holliday","P 32908","Comedy","1921-06-21 00:00:00.000",194
"Susan Peters","P 56305","Drama","1921-07-03 00:00:00.000",195
"Deborah Kerr","P 37896","Drama","1921-09-30 00:00:00.000",196
"James Whitmore","P 76027","Drama","1921-10-01 00:00:00.000",197
"Paul Scofield","P 64000","Drama","1922-01-21 00:00:00.000",198
"Margaret Leighton","P 41693","Drama","1922-02-26 00:00:00.000",199
"Jack Kruschen","P 39495","Comedy","1922-03-20 00:00:00.000",200
"Denholm Elliott","P 21589","Drama","1922-05-31 00:00:00.000",201
"Judy Garland","P 25962","Musical","1922-06-10 00:00:00.000",202
"Eleanor Parker","P 55087","Drama","1922-06-26 00:00:00.000",203
"Jason Robards","P 35299","Drama","1922-07-26 00:00:00.000",204
"Grayson Hall","P 1999412",,"1922-09-18 00:00:00.000",205
"Barbara Bel Geddes","P  5048","Drama","1922-10-31 00:00:00.000",206
"Dorothy Dandridge","P 16799","Drama","1922-11-09 00:00:00.000",207
"Kim Hunter","P 34023","Drama","1922-11-12 00:00:00.000",208
"Oskar Werner","P 75563","Drama","1922-11-13 00:00:00.000",209
"Ava Gardner","P 25893","Drama","1922-12-24 00:00:00.000",210
"Bonita Granville","P 28270","Drama","1923-02-02 00:00:00.000",211
"Dexter Gordon","P 92097","Music [nf]","1923-02-27 00:00:00.000",212
"Charles Durning","P 20780","Comedy","1923-02-28 00:00:00.000",213
"Anne Baxter","P  4663","Drama","1923-05-07 00:00:00.000",214
"Jean Hagen","P 29551","Drama","1923-08-03 00:00:00.000",215
"Marcello Mastroianni","P 46339","Drama","1923-09-28 00:00:00.000",216
"Glynis Johns","P 96142","Drama","1923-10-05 00:00:00.000",217
"Melina Mercouri","P 48509","Drama","1923-10-18 00:00:00.000",218
"Gloria Grahame","P 28125","Drama","1923-11-28 00:00:00.000",219
"Betsy Blair","P  6520","Drama","1923-12-11 00:00:00.000",220
"Ron Moody","P 50234","Comedy","1924-01-08 00:00:00.000",221
"Katy Jurado","P 36544","Drama","1924-01-16 00:00:00.000",222
"Telly Savalas","P109992","Drama","1924-01-21 00:00:00.000",223
"Lee Marvin","P 46149","Drama","1924-02-19 00:00:00.000",224
"Marlon Brando","P  8070","Drama","1924-04-03 00:00:00.000",225
"Doris Day","P 17533","Comedy","1924-04-03 00:00:00.000",226
"Nina Foch","P 24043","Drama","1924-04-20 00:00:00.000",227
"Theodore Bikel","P  6169","Drama","1924-05-02 00:00:00.000",228
"Peggy Cass","P 11618","Drama","1924-05-21 00:00:00.000",229
"Eva Marie Saint","P 62641","Drama","1924-07-04 00:00:00.000",230
"Martha Hyer","P 34234","Drama","1924-08-10 00:00:00.000",231
"Lauren Bacall","P  3116","Drama","1924-09-16 00:00:00.000",232
"Charlton Heston","P 94233","History [nf]","1924-10-04 00:00:00.000",233
"Ruby Dee","P 18243","Drama","1924-10-27 00:00:00.000",234
"Geraldine Page","P 54660","Drama","1924-11-22 00:00:00.000",235
"Valentina Cortese","P 15148","Drama","1925-01-01 00:00:00.000",236
"Paul Newman","P104390","Drama","1925-01-26 00:00:00.000",237
"Dorothy Malone","P 44892","Drama","1925-01-30 00:00:00.000",238
"Jack Lemmon","P 99306","Comedy","1925-02-08 00:00:00.000",239
"Kim Stanley","P 67600","Drama","1925-02-11 00:00:00.000",240
"Hal Holbrook","P 32790","Drama","1925-02-17 00:00:00.000",241
"George Kennedy","P 37705","Drama","1925-02-18 00:00:00.000",242
"Rod Steiger","P 67882","Drama","1925-04-14 00:00:00.000",243
"Colette Marchand","P 45323","Drama","1925-04-29 00:00:00.000",244
"Jeanne Crain","P 15581","Drama","1925-05-25 00:00:00.000",245
"Tony Curtis","P 86429","Drama","1925-06-03 00:00:00.000",246
"Maureen Stapleton","P 67653","Drama","1925-06-21 00:00:00.000",247
"Cara Williams","P 76395","Drama","1925-06-29 00:00:00.000",248
"Peter Sellers","P 64447","Comedy","1925-09-08 00:00:00.000",249
"Cliff Robertson","P108502","Drama","1925-09-09 00:00:00.000",250
"Angela Lansbury","P 40519","Drama","1925-10-16 00:00:00.000",251
"Richard Burton","P 83664","Drama","1925-11-10 00:00:00.000",252
"Rock Hudson","P 33748","Drama","1925-11-17 00:00:00.000",253
"Julie Harris","P212209","Drama","1925-12-02 00:00:00.000",254
"Patricia Neal","P 52027","Drama","1926-01-20 00:00:00.000",255
"Joan Lorring","P 43159","Drama","1926-04-17 00:00:00.000",256
"Cloris Leachman","P 41211","Comedy","1926-04-30 00:00:00.000",257
"Frank Finlay","P 23510","Drama","1926-08-06 00:00:00.000",258
"Richard Jaeckel","P 34973","Drama","1926-10-10 00:00:00.000",259
"Sidney Poitier","P106725","Drama","1927-02-20 00:00:00.000",260
"Emmanuelle Riva","P 60411","Drama","1927-02-24 00:00:00.000",261
"Janet Leigh","P 41670","Drama","1927-07-06 00:00:00.000",262
"Robert Shaw","P111051","Drama","1927-08-09 00:00:00.000",263
"Peter Falk","P 22575","Mystery","1927-09-16 00:00:00.000",264
"Rachel Roberts","P 60655","Drama","1927-09-20 00:00:00.000",265
"George C. Scott","P110557","Drama","1927-10-18 00:00:00.000",266
"Lee Grant","P 92333","Drama","1927-10-31 00:00:00.000",267
"Estelle Parsons","P 55233","Comedy","1927-11-20 00:00:00.000",268
"Stuart Whitman","P 76023","Drama","1928-02-01 00:00:00.000",269
"James Garner","P 25985","Drama","1928-04-07 00:00:00.000",270
"Ian Bannen","P  3742","Drama","1928-06-29 00:00:00.000",271
"Nancy Olson","P 54075","Drama","1928-07-14 00:00:00.000",272
"Ann Blyth","P  6922","Drama","1928-08-16 00:00:00.000",273
"James Coburn","P195536","Western","1928-08-31 00:00:00.000",274
"William Hickey","P 32157","Comedy","1928-09-19 00:00:00.000",275
"Laurence Harvey","P 93645","Drama","1928-10-01 00:00:00.000",276
"Anthony Franciosa","P 24663","Drama","1928-10-28 00:00:00.000",277
"Terry Moore","P103400","Drama","1929-01-07 00:00:00.000",278
"Jean Simmons","P 65749","Drama","1929-01-31 00:00:00.000",279
"Miyoshi Umeki","P 72422","Romance","1929-04-03 00:00:00.000",280
"Nigel Hawthorne","P 31147","Drama","1929-04-05 00:00:00.000",281
"Max von Sydow","P 69424","Drama","1929-04-10 00:00:00.000",282
"Audrey Hepburn","P 31869","Comedy","1929-05-04 00:00:00.000",283
"Vivien Merchant","P 48496","Drama","1929-07-22 00:00:00.000",284
"Don Murray","P103863","Drama","1929-07-31 00:00:00.000",285
"Fernanda Montenegro","P122586","Drama","1929-10-16 00:00:00.000",286
"Joan Plowright","P 57101","Drama","1929-10-28 00:00:00.000",287
"Grace Kelly","P 37518","Romance","1929-11-12 00:00:00.000",288
"John Cassavetes","P 84410","Drama","1929-12-09 00:00:00.000",289
"Christopher Plummer","P 57110","Drama","1929-12-13 00:00:00.000",290
"Robert Loggia","P 42988","Drama","1930-01-03 00:00:00.000",291
"Gene Hackman","P 29486","Drama","1930-01-30 00:00:00.000",292
"Lynn Carlin","P 10953","Drama","1930-01-31 00:00:00.000",293
"Joanne Woodward","P117305","Drama","1930-02-27 00:00:00.000",294
"James Coco","P 13873","Comedy","1930-03-21 00:00:00.000",295
"Steve McQueen","P 48038","Drama","1930-03-24 00:00:00.000",296
"Carolyn Jones","P 36060","Drama","1930-04-28 00:00:00.000",297
"Clint Eastwood","P 88601","Drama","1930-05-31 00:00:00.000",298
"Gena Rowlands","P 61889","Drama","1930-06-19 00:00:00.000",299
"Sean Connery","P 10646","Action","1930-08-25 00:00:00.000",300
"Rosemary Harris","P 30676","Drama","1930-09-19 00:00:00.000",301
"Richard Harris","P 93538","Drama","1930-10-01 00:00:00.000",302
"Maximilian Schell","P110140","Drama","1930-12-08 00:00:00.000",303
"Armin Mueller-Stahl","P 51163","Drama","1930-12-17 00:00:00.000",304
"Robert Duvall","P 88530","Drama","1931-01-05 00:00:00.000",305
"James Earl Jones","P 36131","Drama","1931-01-17 00:00:00.000",306
"Rip Torn","P114388","Drama","1931-02-06 00:00:00.000",307
"James Dean","P 18134","Drama","1931-02-08 00:00:00.000",308
"Barbara Barrie","P  4184","Drama","1931-05-23 00:00:00.000",309
"Carroll Baker","P  3377","Drama","1931-05-28 00:00:00.000",310
"Olympia Dukakis","P 20452","Drama","1931-06-20 00:00:00.000",311
"Martin Landau","P 40247","Spy Film","1931-06-20 00:00:00.000",312
"Leslie Caron","P 11131","Drama","1931-07-01 00:00:00.000",313
"Nick Adams","P   308","Drama","1931-07-10 00:00:00.000",314
"Ian Holm","P 32962","Drama","1931-09-12 00:00:00.000",315
"Anne Bancroft","P 80576","Drama","1931-09-17 00:00:00.000",316
"Hope Lange","P 40445","Drama","1931-11-28 00:00:00.000",317
"Rita Moreno","P 50535","Drama","1931-12-11 00:00:00.000",318
"Piper Laurie","P 40813","Drama","1932-01-22 00:00:00.000",319
"Elizabeth Taylor","P 70015","Drama","1932-02-27 00:00:00.000",320
"Debbie Reynolds","P 59782","Comedy","1932-04-01 00:00:00.000",321
"Anthony Perkins","P106120","Drama","1932-04-04 00:00:00.000",322
"Omar Sharif","P 64847","Drama","1932-04-10 00:00:00.000",323
"Joel Grey","P 28728","Drama","1932-04-11 00:00:00.000",324
"Anouk Aimee","P   534","Drama","1932-04-27 00:00:00.000",325
"Marisa Pavan","P 55534","Drama","1932-06-19 00:00:00.000",326
"Noriyuki 'Pat' Morita","P 50707","Comedy","1932-06-28 00:00:00.000",327
"Peter O'Toole","P 53681","Drama","1932-08-02 00:00:00.000",328
"Eileen Brennan","P  8300","Comedy","1932-09-03 00:00:00.000",329
"Sylvia Miles","P 49125","Comedy","1932-09-09 00:00:00.000",330
"Roy Scheider","P 63580","Drama","1932-11-10 00:00:00.000",331
"Robert Vaughn","P 73149","Action","1932-11-22 00:00:00.000",332
"Ellen Burstyn","P  9777","Drama","1932-12-07 00:00:00.000",333
"Mary Ure","P 72480","Drama","1933-02-18 00:00:00.000",334
"Michael Caine","P 10198","Thriller","1933-03-14 00:00:00.000",335
"Gene Wilder","P116771","Comedy","1933-06-11 00:00:00.000",336
"Danny Aiello","P   421","Comedy","1933-06-20 00:00:00.000",337
"Richard Castellano","P 11706","Crime","1933-09-04 00:00:00.000",338
"Diane Cilento","P 13205","Drama","1933-10-05 00:00:00.000",339
"Daniel Massey","P 46290","Drama","1933-10-10 00:00:00.000",340
"Mako","P 44765","Action","1933-12-10 00:00:00.000",341
"Cicely Tyson","P 72317","Drama","1933-12-19 00:00:00.000",342
"George Segal","P 64316","Children's/Family","1934-02-13 00:00:00.000",343
"Alan Bates","P  4517","Drama","1934-02-17 00:00:00.000",344
"Joan Hackett","P 29476","Drama","1934-03-01 00:00:00.000",345
"Alan Arkin","P 79913","Comedy","1934-03-26 00:00:00.000",346
"Shirley Jones","P 36222","Comedy","1934-03-31 00:00:00.000",347
"Shirley MacLaine","P 44255","Comedy","1934-04-24 00:00:00.000",348
"Louise Fletcher","P 23906","Drama","1934-07-22 00:00:00.000",349
"George Chakiris","P 12080","Drama","1934-09-16 00:00:00.000",350
"Sophia Loren","P 43272","Comedy","1934-09-20 00:00:00.000",351
"Michael Dunn","P 20627","Drama","1934-10-20 00:00:00.000",352
"Judi Dench","P 18570","Children's/Family","1934-12-09 00:00:00.000",353
"Maggie Smith","P 66495","Comedy","1934-12-28 00:00:00.000",354
"Russ Tamblyn","P 69732","Comedy","1934-12-30 00:00:00.000",355
"Seymour Cassel","P 11636","Drama","1935-01-22 00:00:00.000",356
"Judd Hirsch","P 32513","Drama","1935-03-15 00:00:00.000",357
"Dudley Moore","P103371","Comedy","1935-04-19 00:00:00.000",358
"Diahann Carroll","P 11302","Drama","1935-07-17 00:00:00.000",359
"Barbara Harris","P 30591","Comedy","1935-07-25 00:00:00.000",360
"Topol","P 71360","Drama","1935-09-09 00:00:00.000",361
"Julie Andrews","P  1721","Comedy","1935-10-01 00:00:00.000",362
"Diane Ladd","P 39955","Drama","1935-11-29 00:00:00.000",363
"Woody Allen","P 79388","Comedy","1935-12-01 00:00:00.000",364
"Lee Remick","P 59559","Drama","1935-12-14 00:00:00.000",365
"Alan Alda","P 79264","Comedy","1936-01-28 00:00:00.000",366
"Burt Reynolds","P108069","Comedy","1936-02-11 00:00:00.000",367
"Dean Stockwell","P 68385","Drama","1936-03-05 00:00:00.000",368
"Norma Aleandro","P   775","Drama","1936-05-02 00:00:00.000",369
"Glenda Jackson","P 34812","Drama","1936-05-09 00:00:00.000",370
"Albert Finney","P 23545","Drama","1936-05-09 00:00:00.000",371
"Bobby Darin","P 17011","Music [nf]","1936-05-14 00:00:00.000",372
"Dennis Hopper","P 94825","Drama","1936-05-17 00:00:00.000",373
"Louis Gossett, Jr.","P 27923","Drama","1936-05-27 00:00:00.000",374
"Bruce Dern","P 18703","Drama","1936-06-04 00:00:00.000",375
"Shirley Knight","P 38816","Drama","1936-07-05 00:00:00.000",376
"Robert Redford","P107758","Drama","1936-08-18 00:00:00.000",377
"Susan Kohner","P 38970","Drama","1936-11-11 00:00:00.000",378
"Mary Tyler Moore","P 50344","Comedy","1936-12-29 00:00:00.000",379
"Dyan Cannon","P 84025","Comedy","1937-01-04 00:00:00.000",380
"Vanessa Redgrave","P 59206","Drama","1937-01-30 00:00:00.000",381
"Tom Courtenay","P 15355","Drama","1937-02-25 00:00:00.000",382
"Warren Beatty","P 81105","Comedy","1937-03-30 00:00:00.000",383
"Jack Nicholson","P104455","Drama","1937-04-22 00:00:00.000",384
"Sandy Dennis","P 18627","Drama","1937-04-27 00:00:00.000",385
"Morgan Freeman","P 90514","Drama","1937-06-01 00:00:00.000",386
"Sally Kellerman","P 37443","Comedy","1937-06-02 00:00:00.000",387
"Ned Beatty","P  4810","Drama","1937-07-06 00:00:00.000",388
"Dustin Hoffman","P 94585","Drama","1937-08-08 00:00:00.000",389
"Jane Fonda","P 24098","Health & Fitness [nf]","1937-12-21 00:00:00.000",390
"Anthony Hopkins","P 94812","Drama","1937-12-31 00:00:00.000",391
"Victor Buono","P  9520","Comedy","1938-02-03 00:00:00.000",392
"Diane Varsi","P 73076","Drama","1938-02-23 00:00:00.000",393
